N,peringkat,halte,pi,N_x_pi
16,1,7,0.07752801160734407,1.2404481857175051
16,2,3,0.07705395785925367,1.2328633257480588
16,3,2,0.0769490660080723,1.2311850561291569
16,4,6,0.0760438941996628,1.2167023071946048
16,5,4,0.07501654684501959,1.2002647495203134
32,1,4,0.038943690924102325,1.2461981095712744
32,2,13,0.03890185180648428,1.244859257807497
32,3,14,0.03885537444587649,1.2433719822680476
32,4,5,0.03875832349002724,1.2402663516808716
32,5,3,0.03861180675430802,1.2355778161378566
64,1,7,0.019516183538227518,1.2490357464465611
64,2,26,0.01951609686415246,1.2490301993057575
64,3,8,0.01950152595542312,1.2480976611470798
64,4,27,0.019500139045764725,1.2480088989289424
64,5,25,0.01947420065873424,1.2463488421589914
128,1,52,0.00977042126111348,1.2506139214225254
128,2,14,0.009769822094092407,1.250537228043828
128,3,13,0.009769112678927721,1.2504464229027483
128,4,51,0.009767416773708768,1.2502293470347223
128,5,53,0.009765797642134427,1.2500220981932066
256,1,103,0.004888063192938164,1.25134417739217
256,2,26,0.0048880502062353766,1.2513408527962564
256,3,27,0.0048878444196635345,1.2512881714338648
256,4,104,0.004887799238954493,1.2512766051723503
256,5,102,0.004887400192214022,1.2511744492067896
512,1,206,0.0024447576466108457,1.251715915064753
512,2,52,0.002444752023161516,1.251713035858696
512,3,51,0.002444733938941547,1.251703776738072
512,4,205,0.0024447174560578806,1.2516953375016349
512,5,207,0.0024446805154139904,1.251676423891963
